순위,곡명,가수명
1,Blue Valentine,NMIXX
2,Golden,HUNTR/X
3,타임캡슐,다비치
4,Drowning,WOODZ
5,Soda Pop,KPop Demon Hunters Cast
6,뛰어(JUMP),BLACKPINK
7,Good Goodbye,화사 (HWASA)
8,어제보다 슬픈 오늘,우디 (Woody)
9,FAMOUS,ALLDAY PROJECT
10,시작의 아이 ❍,박다혜
11,SPAGHETTI (feat. j-hope of BTS),LE SSERAFIM (르세라핌)
12,Rich Man,aespa
13,XOXZ,IVE (아이브)
14,모르시나요(PROD.로코베리),조째즈
15,IRIS OUT,Kenshi Yonezu
16,너에게 닿기를,10CM
17,운명 (2025),먼데이 키즈
18,한번 더 이별,이창섭
19,Hollywood Action,BOYNEXTDOOR
20,body,다영 (DAYOUNG)
21,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
22,Whiplash,aespa
23,시작의 아이,마크툽 (MAKTUB)
24,나는 반딧불,황가람
25,천상연,이창섭
26,청춘만화,이무진
27,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
28,Your Idol,KPop Demon Hunters Cast
29,내게 사랑이 뭐냐고 물어본다면,로이킴
30,toxic till the end,로제 (ROSÉ)
31,HAPPY,DAY6 (데이식스)
32,APT.,로제 (ROSÉ)
33,like JENNIE,제니 (JENNIE)
34,오늘만 I LOVE YOU,BOYNEXTDOOR
35,멸종위기사랑,이찬혁
36,Dirty Work,aespa
37,Never Ending Story,아이유
38,한 페이지가 될 수 있게,DAY6 (데이식스)
39,소나기,이클립스 (ECLIPSE)
40,달리 표현할 수 없어요,로이킴
41,Flower,오반(OVAN)
42,예뻤어,DAY6 (데이식스)
43,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
44,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
45,너의 모든 순간,성시경
46,Die With A Smile,Lady Gaga
47,Welcome to the Show,DAY6 (데이식스)
48,주저하는 연인들을 위해,잔나비
49,STYLE,Hearts2Hearts (하츠투하츠)
50,REBEL HEART,IVE (아이브)
51,가만히 눈을 감고,DK(디셈버)
52,TOO BAD (feat. Anderson .Paak),G-DRAGON
53,"바이, 썸머",아이유
54,Love wins all,아이유
55,첫 만남은 계획대로 되지 않아,TWS (투어스)
56,빌려온 고양이 (Do the Dance),아일릿(ILLIT)
57,청혼하지 않을 이유를 못 찾았어,이무진
58,MY LOVE(2025),이예은
59,다정히 내 이름을 부르면,경서예지
60,사랑인가 봐,멜로망스
61,How It’s Done,HUNTR/X
62,Supernova,aespa
63,WICKED,ALLDAY PROJECT
64,헤어지자 말해요,박재정
65,FOCUS,Hearts2Hearts (하츠투하츠)
66,I AM,IVE (아이브)
67,Magnetic,아일릿(ILLIT)
68,비의 랩소디,임재현
69,에피소드,이무진
70,슬픈 초대장,순순희(지환)
71,사랑은 늘 도망가,임영웅
72,고민중독,QWER
73,Hype Boy,NewJeans
74,HANDS UP,MEOVV (미야오)
75,DRIP,BABYMONSTER
76,인사,범진
77,내 이름 맑음,QWER
78,How Sweet,NewJeans
79,꿈의 버스,DAY6 (데이식스)
80,JANE DOE,Kenshi Yonezu
81,HOT,LE SSERAFIM (르세라핌)
82,PO￦ER,G-DRAGON
83,나는 아픈 건 딱 질색이니까,i-dle (아이들)
84,Seven (feat. Latto) - Clean Ver.,정국
85,숲,최유리
86,눈물참기,QWER
87,LIKE YOU BETTER,프로미스나인
88,ATTITUDE,IVE (아이브)
89,Supersonic,프로미스나인
90,UP (KARINA Solo),aespa
91,OVERDRIVE,TWS (투어스)
92,순간을 영원처럼,임영웅
93,사랑하게 될 거야,한로로
94,우리들의 블루스,임영웅
95,다시 만날 수 있을까,임영웅
96,있잖아,BOYNEXTDOOR
97,미치게 그리워서,황가람
98,Free,EJAE
99,사막에서 꽃을 피우듯,우디 (Woody)
100,나무,카더가든
