조회수,제목,포스터
9.6만명,퍼스트 라이드,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20251029_53%2F1761719194708iOSYd_JPEG%2Fmovie_image.jpg
6.9만명,극장판 체인소 맨: 레제편,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20251024_263%2F1761270408060kfuwT_JPEG%2Fmovie_image.jpg
3.7만명,8번 출구,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20251022_281%2F1761115662353l7wxK_JPEG%2Fmovie_image.jpg
1.7만명,케이팝 데몬 헌터스 싱어롱,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20250826_40%2F1756182610110M7Ce3_JPEG%2Fmovie_image.jpg
1.6만명,코렐라인,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20250925_160%2F1758759650531BA91C_JPEG%2Fmovie_image.jpg
1.2만명,극장판 귀멸의 칼날: 무한성편,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20250822_188%2F1755830748444J7mqt_JPEG%2Fmovie_image.jpg
"7,549명",어쩔수가없다,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20250926_65%2F1758855429478oc05T_JPEG%2Fmovie_image.jpg
"7,102명",세계의 주인,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20251022_120%2F1761101991917Ejewy_JPEG%2Fmovie_image.jpg
"5,811명",극장판 주술회전: 회옥·옥절,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20251021_23%2F1761006879729TwPY1_JPEG%2Fmovie_image.jpg
"4,729명",원 배틀 애프터 어나더,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20250924_222%2F1758679665591Bjo30_JPEG%2Fmovie_image.jpg
"4,290명",신세기 에반게리온 극장판 사...,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20251027_147%2F1761551869442mgUBV_JPEG%2Fmovie_image.jpg
"4,140명",보스,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20251014_288%2F1760409682527qVta7_JPEG%2Fmovie_image.jpg
"4,102명",지드래곤 인 시네마 [위버맨...,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20251015_183%2F1760510850443LwSgO_JPEG%2Fmovie_image.jpg
"3,429명",하얀 차를 탄 여자,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20251029_89%2F1761715179772yVcqv_JPEG%2Fmovie_image.jpg
"2,267명",베이비걸,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20250929_157%2F17591382882579OknV_JPEG%2Fmovie_image.jpg
"2,173명",말할 수 없는 비밀: 마지막...,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20251013_155%2F1760333876981VuHEn_JPEG%2Fmovie_image.jpg
"2,108명",프랑켄슈타인,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20251010_29%2F1760079624187PPrB3_JPEG%2Fmovie_image.jpg
"1,656명",블랙폰 2,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20250929_233%2F17591256661128J0Ev_JPEG%2Fmovie_image.jpg
"1,510명",후지모토 타츠키 17-26 ...,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20251020_243%2F1760949140481ztqQq_JPEG%2Fmovie_image.jpg
"1,418명",후지모토 타츠키 17-26 ...,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20251020_195%2F1760949338696QsGfQ_JPEG%2Fmovie_image.jpg
974명,브레드이발소: 베이커리타운의...,https://search.pstatic.net/common?type=f&size=206x290&quality=100&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20250903_195%2F1756867766561bEGT7_JPEG%2Fmovie_image.jpg
